Country,Year,LPI Aggregate,Customs,Infrastructure,International Shipments,Logistics Quality and Competence,Tracking and Tracing,Timeliness
Austria,2007,4.06,3.83,4.06,3.97,4.13,3.97,4.44
Austria,2010,3.76,3.49,3.68,3.78,3.7,3.83,4.08
Austria,2012,3.89,3.77,4.05,3.71,4.1,3.97,3.79
Austria,2014,3.648587,3.531243,3.63611,3.26111,3.558489,3.934276,4.03734
Austria,2016,4.097985,3.790874,4.07841,3.850089,4.181863,4.355787,4.371814
Austria,2018,4.03,3.71,4.18,3.88,4.08,4.09,4.25
Austria,2022,4.0,3.7,3.9,3.8,4.0,4.2,4.3
Belgium,2007,3.89,3.61,4.0,3.65,3.95,3.96,4.25
Belgium,2010,3.94,3.83,4.01,3.31,4.13,4.22,4.29
Belgium,2012,3.98,3.85,4.12,3.73,3.98,4.05,4.2
Belgium,2014,4.04466,3.801493,4.098801,3.797858,4.111112,4.112492,4.390126
Belgium,2016,4.108538,3.829699,4.053557,4.050997,4.070602,4.224394,4.426187
Belgium,2018,4.04,3.66,3.98,3.99,4.13,4.05,4.41
Belgium,2022,4.0,3.9,4.1,3.8,4.2,4.0,4.2
Bulgaria,2007,2.87,2.47,2.47,2.79,2.86,3.14,3.56
Bulgaria,2010,2.83,2.5,2.3,3.07,2.85,2.96,3.18
Bulgaria,2012,3.21,2.97,3.2,3.25,3.1,3.16,3.56
Bulgaria,2014,3.157151,2.75,2.9375,3.3125,3.0,2.875,4.037054
Bulgaria,2016,2.807685,2.4,2.351053,2.93,3.057436,2.719474,3.309184
Bulgaria,2018,3.03,2.94,2.76,3.23,2.88,3.02,3.31
Bulgaria,2022,3.2,3.1,3.1,3.0,3.3,3.3,3.5
Croatia,2007,2.71,2.36,2.5,2.69,2.83,2.46,3.45
Croatia,2010,2.77,2.62,2.36,2.97,2.53,2.82,3.22
Croatia,2012,3.16,3.06,3.35,2.95,2.92,3.2,3.54
Croatia,2014,3.052949,2.947368,2.922822,2.978378,3.0,3.105263,3.368421
Croatia,2016,3.160829,3.074242,2.989697,3.115366,3.214506,3.164506,3.389019
Croatia,2018,3.1,2.98,3.01,2.93,3.1,3.01,3.59
Croatia,2022,3.3,3.0,3.0,3.6,3.4,3.4,3.2
Cyprus,2007,2.92,2.77,2.91,2.92,2.77,2.92,3.25
Cyprus,2010,3.13,2.92,2.94,3.13,2.82,3.51,3.44
Cyprus,2012,3.24,3.02,3.17,3.21,3.17,3.36,3.54
Cyprus,2014,3.000577,2.877876,2.871428,3.014286,2.923077,3.0,3.307692
Cyprus,2016,2.999061,3.111111,3.0,2.797298,2.722222,2.538943,3.79341
Cyprus,2018,3.15,3.05,2.89,3.15,3.0,3.15,3.62
Cyprus,2022,3.2,2.9,2.8,3.1,3.2,3.4,3.5
Czechia,2007,3.13,2.95,3.0,3.06,3.0,3.27,3.56
Czechia,2010,3.51,3.31,3.25,3.42,3.27,3.6,4.16
Czechia,2012,3.14,2.95,2.96,3.01,3.34,3.17,3.4
Czechia,2014,3.492416,3.238095,3.28524,3.586281,3.514164,3.558245,3.734156
Czechia,2016,3.674309,3.580444,3.357148,3.65061,3.648399,3.84138,3.944818
Czechia,2018,3.68,3.29,3.46,3.75,3.72,3.7,4.13
Czechia,2022,3.3,3.0,3.0,3.4,3.6,3.2,3.7
Denmark,2007,3.86,3.97,3.82,3.67,3.83,3.76,4.11
Denmark,2010,3.85,3.58,3.99,3.46,3.83,3.94,4.38
Denmark,2012,4.02,3.93,4.07,3.7,4.14,4.1,4.21
Denmark,2014,3.78252,3.789988,3.816178,3.649512,3.741392,3.356776,4.385104
Denmark,2016,3.815794,3.819922,3.745903,3.658457,4.010558,3.736071,3.924305
Denmark,2018,3.99,3.92,3.96,3.53,4.01,4.18,4.41
Denmark,2022,4.1,4.1,4.1,3.6,4.1,4.3,4.1
Estonia,2007,2.95,2.75,2.91,2.85,3.0,2.84,3.35
Estonia,2010,3.16,3.14,2.75,3.17,3.17,2.95,3.68
Estonia,2012,2.86,2.51,2.79,2.82,2.82,3.0,3.23
Estonia,2014,3.34592,3.395238,3.338095,3.338095,3.266667,3.195238,3.552381
Estonia,2016,3.363489,3.411825,3.17635,3.07308,3.17635,3.254,4.07753
Estonia,2018,3.31,3.32,3.1,3.26,3.15,3.21,3.8
Estonia,2022,3.6,3.2,3.5,3.4,3.7,3.8,4.1
Finland,2007,3.82,3.68,3.81,3.3,3.85,4.17,4.18
Finland,2010,3.89,3.86,4.08,3.41,3.92,4.09,4.08
Finland,2012,4.05,3.98,4.12,3.85,4.14,4.14,4.1
Finland,2014,3.623035,3.892006,3.518235,3.517647,3.722474,3.306622,3.799397
Finland,2016,3.920745,4.005364,4.007231,3.507231,3.883877,4.038539,4.141268
Finland,2018,3.97,3.82,4.0,3.56,3.89,4.32,4.28
Finland,2022,4.2,4.0,4.2,4.1,4.2,4.2,4.3
France,2007,3.76,3.51,3.82,3.63,3.76,3.87,4.02
France,2010,3.84,3.63,4.0,3.3,3.87,4.01,4.37
France,2012,3.85,3.64,3.96,3.73,3.82,3.97,4.02
France,2014,3.847305,3.647901,3.982774,3.682113,3.754644,3.886686,4.174037
France,2016,3.900953,3.713518,4.011015,3.641893,3.815154,4.020638,4.24684
France,2018,3.84,3.59,4.0,3.55,3.84,4.0,4.15
France,2022,3.9,3.7,3.8,3.7,3.8,4.0,4.1
Germany,2007,4.1,3.88,4.19,3.91,4.21,4.12,4.33
Germany,2010,4.11,4.0,4.34,3.66,4.14,4.18,4.48
Germany,2012,4.03,3.87,4.26,3.67,4.09,4.05,4.32
Germany,2014,4.121983,4.098098,4.323295,3.744272,4.122776,4.167922,4.360813
Germany,2016,4.225967,4.123067,4.439356,3.857241,4.27905,4.26539,4.453368
Germany,2018,4.2,4.09,4.37,3.86,4.31,4.24,4.39
Germany,2022,4.1,3.9,4.3,3.7,4.2,4.2,4.1
Greece,2007,3.36,3.06,3.05,3.11,3.33,3.53,4.13
Greece,2010,2.96,2.48,2.94,2.85,2.69,3.31,3.49
Greece,2012,2.83,2.38,2.88,2.69,2.76,2.98,3.32
Greece,2014,3.201602,3.360818,3.166275,2.970246,3.227133,3.027133,3.504077
Greece,2016,3.239516,2.854825,3.316384,2.97086,2.910547,3.592507,3.847529
Greece,2018,3.2,2.84,3.17,3.3,3.06,3.18,3.66
Greece,2022,3.7,3.2,3.7,3.8,3.8,3.9,3.9
Hungary,2007,3.15,3.0,3.12,3.07,3.07,3.0,3.69
Hungary,2010,2.99,2.83,3.08,2.78,2.87,2.87,3.52
Hungary,2012,3.17,2.82,3.14,2.99,3.18,3.52,3.41
Hungary,2014,3.464438,2.970238,3.179665,3.401887,3.33491,3.823237,4.05913
Hungary,2016,3.428968,3.016758,3.48396,3.435504,3.354928,3.402171,3.875794
Hungary,2018,3.42,3.35,3.27,3.22,3.21,3.67,3.79
Hungary,2022,3.2,2.7,3.1,3.4,3.1,3.4,3.6
Ireland,2007,3.91,3.82,3.72,3.76,3.93,3.96,4.32
Ireland,2010,3.89,3.6,3.76,3.7,3.82,4.02,4.47
Ireland,2012,3.52,3.4,3.35,3.4,3.54,3.65,3.77
Ireland,2014,3.868014,3.8,3.84,3.44,3.943467,4.125285,4.125285
Ireland,2016,3.794886,3.474252,3.772744,3.825702,3.785793,3.980995,3.937329
Ireland,2018,3.51,3.36,3.29,3.42,3.6,3.62,3.76
Ireland,2022,3.6,3.4,3.5,3.6,3.6,3.7,3.7
Italy,2007,3.58,3.19,3.52,3.57,3.63,3.66,3.93
Italy,2010,3.64,3.38,3.72,3.21,3.74,3.83,4.08
Italy,2012,3.67,3.34,3.74,3.53,3.65,3.73,4.05
Italy,2014,3.691076,3.355694,3.775923,3.538153,3.62495,3.835361,4.04898
Italy,2016,3.755414,3.453031,3.791468,3.651206,3.765139,3.857773,4.032609
Italy,2018,3.74,3.47,3.85,3.51,3.66,3.85,4.13
Italy,2022,3.7,3.4,3.8,3.4,3.8,3.9,3.9
Latvia,2007,3.02,2.53,2.56,3.31,2.94,3.06,3.69
Latvia,2010,3.25,2.94,2.88,3.38,2.96,3.55,3.72
Latvia,2012,2.78,2.71,2.52,2.72,2.64,2.97,3.08
Latvia,2014,3.402789,3.221575,3.029151,3.376299,3.209473,3.503125,4.059148
Latvia,2016,3.327107,3.110769,3.235385,3.277821,3.29218,3.422615,3.621859
Latvia,2018,2.81,2.8,2.98,2.74,2.69,2.79,2.88
Latvia,2022,3.5,3.3,3.3,3.2,3.7,3.6,4.0
Lithuania,2007,2.78,2.64,2.3,3.0,2.7,2.6,3.4
Lithuania,2010,3.13,2.79,2.72,3.19,2.85,3.27,3.92
Lithuania,2012,2.95,2.73,2.58,2.97,2.91,2.73,3.7
Lithuania,2014,3.178416,3.044675,3.184799,3.098107,2.992647,3.173407,3.601811
Lithuania,2016,3.631688,3.415228,3.571429,3.492151,3.492151,3.68158,4.140883
Lithuania,2018,3.02,2.85,2.73,2.79,2.96,3.12,3.65
Lithuania,2022,3.4,3.2,3.5,3.4,3.6,3.1,3.6
Luxembourg,2007,3.54,3.67,3.86,3.0,3.22,3.56,4.0
Luxembourg,2010,3.98,4.04,4.06,3.67,3.67,3.92,4.58
Luxembourg,2012,3.82,3.54,3.79,3.7,3.82,3.91,4.19
Luxembourg,2014,3.946726,3.818182,3.909091,3.818182,3.783471,3.683471,4.705877
Luxembourg,2016,4.219409,3.9,4.235,4.235,4.01,4.1225,4.795714
Luxembourg,2018,3.63,3.53,3.63,3.37,3.76,3.61,3.9
Luxembourg,2022,3.6,3.6,3.6,3.6,3.9,3.5,3.5
Malta,2010,2.82,2.65,2.89,2.91,2.89,2.56,3.02
Malta,2012,3.16,2.81,3.1,3.17,3.01,3.05,3.79
Malta,2014,3.106275,3.0,3.076923,3.230769,3.0,3.153846,3.153846
Malta,2016,3.069256,2.780952,2.942857,3.086243,2.852381,3.12001,3.612073
Malta,2018,2.81,2.7,2.9,2.7,2.8,2.8,3.01
Malta,2022,3.3,3.4,3.7,3.0,3.4,3.4,3.2
Netherlands,2007,4.18,3.99,4.29,4.05,4.25,4.14,4.38
Netherlands,2010,4.07,3.98,4.25,3.61,4.15,4.12,4.41
Netherlands,2012,4.02,3.85,4.15,3.86,4.05,4.12,4.15
Netherlands,2014,4.047782,3.963995,4.229527,3.641035,4.127404,4.073242,4.336971
Netherlands,2016,4.18753,4.122913,4.289743,3.944028,4.21524,4.171777,4.413116
Netherlands,2018,4.02,3.92,4.21,3.68,4.09,4.02,4.25
Netherlands,2022,4.1,3.9,4.2,3.7,4.2,4.2,4.0
Poland,2007,3.04,2.88,2.69,2.92,3.04,3.12,3.59
Poland,2010,3.44,3.12,2.98,3.22,3.26,3.45,4.52
Poland,2012,3.43,3.3,3.1,3.47,3.3,3.32,4.04
Poland,2014,3.493829,3.25534,3.083333,3.456749,3.465008,3.543212,4.133248
Poland,2016,3.425877,3.266692,3.169237,3.438257,3.387954,3.45602,3.803532
Poland,2018,3.54,3.25,3.21,3.68,3.58,3.51,3.95
Poland,2022,3.6,3.4,3.5,3.3,3.6,3.8,3.9
Portugal,2007,3.38,3.24,3.16,3.23,3.19,3.44,4.06
Portugal,2010,3.34,3.31,3.17,3.02,3.31,3.38,3.84
Portugal,2012,3.5,3.19,3.42,3.43,3.48,3.6,3.88
Portugal,2014,3.560284,3.263158,3.372114,3.42767,3.713122,3.713122,3.868503
Portugal,2016,3.409367,3.37322,3.088148,3.241283,3.153843,3.646236,3.946196
Portugal,2018,3.64,3.17,3.25,3.83,3.71,3.72,4.13
Portugal,2022,3.4,3.2,3.6,3.1,3.6,3.2,3.6
Romania,2007,2.91,2.6,2.73,3.2,2.86,2.86,3.18
Romania,2010,2.84,2.36,2.25,3.24,2.68,2.9,3.45
Romania,2012,3.0,2.65,2.51,2.99,2.83,3.1,3.82
Romania,2014,3.261155,2.832622,2.773306,3.322581,3.19678,3.390328,3.998976
Romania,2016,2.99312,3.0,2.882353,3.058824,2.820534,2.945534,3.224222
Romania,2018,3.12,2.58,2.91,3.18,3.07,3.26,3.68
Romania,2022,3.2,2.7,2.9,3.4,3.3,3.5,3.6
Slovak Republic,2007,2.92,2.61,2.68,3.09,3.0,2.87,3.26
Slovak Republic,2010,3.24,2.79,3.0,3.05,3.15,3.54,3.92
Slovak Republic,2012,3.03,2.88,2.99,2.84,3.07,2.84,3.57
Slovak Republic,2014,3.254533,2.888889,3.218518,3.301764,3.158906,3.016049,3.942416
Slovak Republic,2016,3.336895,3.277778,3.243352,3.405025,3.121637,3.121637,3.808031
Slovak Republic,2018,3.03,2.79,3.0,3.1,3.14,2.99,3.14
Slovak Republic,2022,3.3,3.2,3.3,3.0,3.4,3.3,3.5
Slovenia,2007,3.14,2.79,3.22,3.14,3.09,2.91,3.73
Slovenia,2010,2.87,2.59,2.65,2.84,2.9,3.16,3.1
Slovenia,2012,3.29,3.05,3.24,3.34,3.25,3.2,3.6
Slovenia,2014,3.383272,3.113836,3.349875,3.049875,3.508563,3.508563,3.817306
Slovenia,2016,3.184508,2.882353,3.189909,3.104538,3.198462,3.269891,3.473093
Slovenia,2018,3.31,3.42,3.26,3.19,3.05,3.27,3.7
Slovenia,2022,3.3,3.4,3.6,3.4,3.3,3.0,3.3
Spain,2007,3.52,3.17,3.51,3.45,3.55,3.63,3.86
Spain,2010,3.63,3.47,3.58,3.11,3.62,3.96,4.12
Spain,2012,3.7,3.4,3.74,3.68,3.69,3.67,4.02
Spain,2014,3.718636,3.62747,3.773806,3.505149,3.830432,3.544628,4.074288
Spain,2016,3.727412,3.477058,3.716888,3.631566,3.728878,3.823157,3.999192
Spain,2018,3.83,3.62,3.84,3.83,3.8,3.83,4.06
Spain,2022,3.9,3.6,3.8,3.7,3.9,4.1,4.2
Sweden,2007,4.08,3.85,4.11,3.9,4.06,4.15,4.43
Sweden,2010,4.08,3.88,4.03,3.83,4.22,4.22,4.32
Sweden,2012,3.85,3.68,4.13,3.39,3.9,3.82,4.26
Sweden,2014,3.961349,3.75,4.09375,3.75625,3.98125,3.975,4.258333
Sweden,2016,4.204593,3.915508,4.270132,4.003465,4.246615,4.377678,4.452816
Sweden,2018,4.05,4.05,4.24,3.92,3.98,3.88,4.28
Sweden,2022,4.0,4.0,4.2,3.4,4.2,4.1,4.2
